day,cases,cases_per_mln_cum,deaths,recovered,tests,positives,positives_tests_ratio,hospitalized,quaran,supervised,deaths_recovered_ratio
2020-06-16,407,786.7,16,271,25966,506,0.019487021,1693,96255,17195,0.05904059
2020-06-17,450,798.5,14,267,23852,314,0.013164515,1849,93722,17354,0.052434457
2020-06-18,314,806.6,30,396,26725,301,0.011262862,1886,97215,18866,0.075757576
2020-06-19,352,815.8,18,381,22723,304,0.013378515,1931,96795,18611,0.047244094
2020-06-20,309,823.9,12,483,21443,311,0.014503568,1877,94585,18619,0.02484472
2020-06-21,311,832,10,502,14193,296,0.020855351,1899,93830,18572,0.019920319
2020-06-22,296,839.7,3,393,21171,300,0.014170327,1936,93890,18025,0.007633588
2020-06-23,300,847.5,16,497,22441,294,0.01310102,1965,92992,16574,0.032193159
2020-06-24,294,855.2,21,561,25196,298,0.011827274,1974,92409,17139,0.037433155
2020-06-25,289,862.7,16,520,22287,276,0.012383901,1933,91461,16728,0.030769231
2020-06-26,285,870.1,17,564,22832,319,0.013971619,1869,89294,16568,0.030141844
2020-06-27,319,878.4,6,754,24031,193,0.008031293,1845,85603,15211,0.00795756
2020-06-28,193,883.5,4,576,5547,247,0.044528574,1797,83460,14469,0.006944444
2020-06-29,247,889.9,6,349,21866,239,0.010930211,1811,83499,13987,0.017191977
2020-06-30,239,896.1,19,384,25104,382,0.015216699,1923,83033,13919,0.049479167
2020-07-01,382,906.1,14,510,23183,371,0.016003106,1787,83521,13941,0.02745098
2020-07-02,371,915.7,15,418,27804,259,0.009315206,1743,84790,13478,0.035885167
2020-07-03,259,922.5,14,442,22663,314,0.013855182,1731,84560,13280,0.031674208
2020-07-04,314,930.7,4,476,19210,231,0.012024987,1765,83813,13508,0.008403361
2020-07-05,231,936.7,5,619,16294,205,0.012581318,1790,83767,12118,0.008077544
2020-07-06,205,942,4,220,20700,257,0.012415459,1658,85327,11780,0.018181818
2020-07-07,257,948.7,7,272,20209,277,0.013706764,1683,84363,11547,0.025735294
2020-07-08,277,955.9,15,640,23855,262,0.010983022,1687,85955,10889,0.0234375
2020-07-09,262,962.8,9,599,24203,265,0.010949056,1597,86712,10565,0.015025042
2020-07-10,265,969.7,11,571,35012,305,0.008711299,1617,86915,10045,0.019264448
2020-07-11,305,977.6,6,587,17969,370,0.020591018,1610,86168,9789,0.010221465
2020-07-12,370,987.3,3,513,15753,299,0.018980512,1640,85610,9138,0.005847953
2020-07-13,299,995,5,367,21904,267,0.012189554,1581,86747,9473,0.013623978
2020-07-14,267,1002,12,241,25323,264,0.010425305,1575,86698,9684,0.049792531
2020-07-15,264,1008.9,6,736,25497,333,0.01306036,1550,90496,9778,0.008152174
2020-07-16,333,1017.6,10,436,26254,353,0.01344557,1604,86073,9627,0.02293578
2020-07-17,353,1026.8,7,577,24546,339,0.013810804,1551,92008,9715,0.012131716
2020-07-18,339,1035.6,6,419,19383,358,0.018469793,1560,89956,9665,0.014319809
2020-07-19,358,1044.9,6,368,15464,279,0.018041904,1575,89822,9557,0.016304348
2020-07-20,279,1052.2,4,247,20266,399,0.019688148,1607,90767,9356,0.016194332
2020-07-21,399,1062.6,9,232,25511,380,0.014895535,1644,90961,9846,0.038793103
2020-07-22,380,1072.5,6,368,27190,418,0.015373299,1626,92577,8907,0.016304348
2020-07-23,418,1083.4,9,402,24280,458,0.018863262,1617,92577,7472,0.02238806
2020-07-24,458,1095.3,4,456,26239,584,0.022256946,1594,94164,7411,0.00877193
2020-07-25,584,1110.5,9,422,20300,443,0.02182266,1601,93311,7418,0.021327014
2020-07-26,443,1122.1,7,334,18812,337,0.017914097,1625,92803,7394,0.020958084
2020-07-27,337,1130.8,5,103,22691,502,0.022123309,1655,94920,7245,0.048543689
2020-07-28,502,1143.9,6,187,29952,512,0.017094017,1687,95453,6222,0.032085561
2020-07-29,512,1160,12,147,23064,615,0.026664932,1694,97561,8094,0.081632653
2020-07-30,615,1173.3,15,453,35127,657,0.018703561,1778,97189,8069,0.033112583
2020-07-31,657,1190.4,7,344,28385,658,0.023181258,1841,98282,8241,0.020348837
2020-08-01,658,1207.6,5,387,23874,548,0.022953841,1835,96425,8523,0.012919897
2020-08-02,548,1221.8,10,335,17783,575,0.032334252,1841,95794,8272,0.029850746
2020-08-03,575,1236.8,1,172,25829,680,0.026326997,1859,98875,8499,0.005813953
2020-08-04,680,1254.5,6,175,33647,640,0.019021012,1898,100151,9044,0.034285714
2020-08-05,640,1271.2,18,265,28650,726,0.025340314,1913,102815,9052,0.067924528
2020-08-06,726,1290.1,18,321,32676,809,0.024758232,1928,104923,9237,0.056074766
2020-08-07,809,1311.2,13,399,21900,843,0.038493151,1928,107229,9256,0.032581454
2020-08-08,843,1333.2,13,362,20374,624,0.03062727,1930,105795,9227,0.035911602
2020-08-09,624,1349.4,7,288,14924,619,0.041476816,1929,104167,9566,0.024305556
2020-08-10,619,1365.6,2,186,23142,551,0.023809524,1985,105427,9230,0.010752688
2020-08-11,551,1379.9,12,273,24079,715,0.029693924,2021,106915,9490,0.043956044
2020-08-12,715,1398.5,9,461,26131,811,0.031035934,2059,108677,9413,0.019522777
2020-08-13,811,1419.7,13,350,26726,832,0.031130734,2040,108309,9660,0.037142857
2020-08-14,832,1441.3,15,401,24632,771,0.031300747,2028,107395,9606,0.037406484
2020-08-15,771,1461.4,11,491,16613,594,0.035755132,2035,103805,9477,0.022403259
2020-08-16,594,1476.9,8,277,13158,595,0.045219638,2040,102970,9305,0.028880866
2020-08-17,595,1492.4,8,229,20530,597,0.029079396,2057,103236,8920,0.034934498
2020-08-18,597,1508,11,284,28741,735,0.025573223,2097,103621,8813,0.038732394
2020-08-19,735,1527.1,17,456,25599,767,0.029962108,2110,103961,9034,0.037280702
2020-08-20,767,1547.1,12,382,29689,903,0.030415305,2151,103351,8902,0.031413613
2020-08-21,903,1570.6,13,548,25704,900,0.035014006,2189,103876,8899,0.023722628
2020-08-22,900,1594.1,13,632,19634,581,0.029591525,2195,100066,7892,0.02056962
2020-08-23,581,1609.2,4,522,16754,548,0.032708607,2207,98233,8894,0.007662835
2020-08-24,548,1623.5,5,265,22211,763,0.034352348,2167,100023,8544,0.018867925
2020-08-25,763,1643.4,17,336,28894,729,0.025230152,2170,99705,8947,0.050595238
2020-08-26,729,1662.4,17,615,28283,887,0.031361595,2185,101678,8984,0.027642276
2020-08-27,887,1685.5,15,698,25762,791,0.030704138,2221,101547,8893,0.021489971
2020-08-28,791,1706.1,9,688,21871,759,0.034703489,2237,100845,8817,0.013081395
2020-08-29,759,1725.9,14,751,19017,631,0.033180838,2242,98576,8555,0.018641811
2020-08-30,631,1742.3,1,656,12474,502,0.040243707,2249,96351,8397,0.00152439
2020-08-31,502,1755.4,6,446,29407,550,0.01870303,2138,96888,7929,0.013452915
2020-09-01,550,1769.7,19,392,34167,595,0.017414464,2168,96664,8145,0.048469388
2020-09-02,595,1785.2,20,835,15684,612,0.039020658,2170,98341,8070,0.023952096
2020-09-03,612,1801.2,14,728,22493,691,0.030720669,2179,71311,7610,0.019230769
2020-09-04,691,1819.2,8,1227,25566,567,0.022177893,2090,71452,7090,0.006519967
2020-09-05,567,1833.9,13,2526,18619,437,0.023470648,2091,70788,7112,0.005146477
2020-09-06,437,1845.3,7,1910,10303,302,0.029311851,2113,72285,7097,0.003664921
2020-09-07,302,1853.2,3,857,18818,400,0.021256244,2042,76047,7010,0.003500583
2020-09-08,400,1863.6,12,797,23327,421,0.018047756,2070,79124,7160,0.015056462
2020-09-09,421,1874.6,11,1225,18680,506,0.027087794,1924,83170,7408,0.008979592
2020-09-10,506,1887.8,12,934,18643,594,0.031861825,1957,86892,7090,0.012847966
2020-09-11,594,1903.3,10,779,21154,603,0.028505247,1946,90216,7343,0.01283697
2020-09-12,603,1919,13,877,14502,502,0.034615915,1961,91819,7229,0.014823261
2020-09-13,502,1932,6,934,12631,377,0.029847201,1972,92057,6972,0.006423983
2020-09-14,377,1941.9,15,438,18719,605,0.032320103,1996,95241,6934,0.034246575
2020-09-15,605,1957.6,24,451,21912,600,0.027382256,2007,94273,8062,0.053215078
2020-09-16,600,1973.3,10,562,22192,837,0.037716294,1917,103425,9331,0.017793594
2020-09-17,837,1995.1,16,615,21023,757,0.036008182,1925,111530,10102,0.02601626
2020-09-18,757,2014.8,17,587,20040,1002,0.05,1977,118864,11494,0.028960818
2020-09-19,1002,2040.9,12,549,18988,910,0.047925005,1985,118212,11751,0.021857923
2020-09-20,910,2064.6,11,441,12224,748,0.061191099,1979,116871,11956,0.024943311
2020-09-21,748,2084.1,5,302,22599,711,0.031461569,1993,115789,11849,0.016556291
2020-09-22,711,2102.6,18,368,22058,974,0.044156315,1971,114000,9962,0.048913043
2020-09-23,974,2128,28,589,23725,1136,0.047881981,1964,125220,11089,0.0475382
2020-09-24,1136,2157.6,25,597,24232,1587,0.065491912,1995,137023,12937,0.041876047
2020-09-25,1587,2199,23,582,23290,1584,0.068012022,2134,143442,13894,0.0395189
2020-09-26,1584,2240.2,32,586,18821,1350,0.071728389,2223,139460,16368,0.054607509
2020-09-27,1350,2275.4,8,578,13467,1306,0.096977798,2305,136128,16128,0.01384083
2020-09-28,1306,2309.4,15,516,23119,1326,0.057355422,2399,134588,14660,0.029069767
2020-09-29,1326,2344,36,535,28021,1552,0.055387031,2481,129961,15619,0.06728972
2020-09-30,1552,2384.4,30,740,29615,1967,0.066419044,2560,133981,16891,0.040540541
2020-10-01,1967,2435.7,30,706,28724,2292,0.079793901,2702,139056,20876,0.042492918
2020-10-02,2292,2495.4,27,952,30515,2367,0.077568409,2850,158038,21464,0.028361345
2020-10-03,2367,2557.1,34,856,25976,1934,0.074453342,2977,150565,22003,0.039719626
2020-10-04,1934,2607.5,26,794,18324,2006,0.109473914,3158,154365,21375,0.032745592
2020-10-05,2006,2659.7,29,549,24036,2236,0.093027126,3719,159530,19933,0.052823315
2020-10-06,2236,2718,58,606,44056,3003,0.068163247,4000,145873,21289,0.095709571
2020-10-07,3003,2796.2,75,1188,44113,4280,0.097023553,4138,171251,22737,0.063131313
2020-10-08,4280,2907.7,76,1144,30812,4739,0.153803713,4407,188629,26716,0.066433566
2020-10-09,4739,3031.2,52,1385,28228,5300,0.187756837,4725,206048,31863,0.037545126
2020-10-10,5300,3169.3,53,1107,31180,4178,0.133996151,4924,231032,32394,0.047877145
2020-10-11,4178,3278.2,31,1320,25078,4394,0.175213334,5262,250094,35094,0.023484848
2020-10-12,4394,3392.7,35,899,33851,5068,0.149714927,5669,212446,33533,0.038932147
2020-10-13,5068,3524.7,63,803,43852,6526,0.148818754,6084,249349,33071,0.078455791
2020-10-14,6526,3694.7,116,1843,64518,8099,0.12553086,6538,296020,36066,0.062940857
2020-10-15,8099,3905.8,91,1741,50825,7705,0.151598623,6980,311625,41498,0.052268811
2020-10-16,7705,4106.5,132,2185,48989,9622,0.196411439,7512,327507,45605,0.060411899
2020-10-17,9622,4357.2,84,2389,37289,8536,0.228914693,8076,320482,45909,0.035161155
2020-10-18,8536,4579.6,49,2489,36039,7482,0.207608424,8375,304567,46864,0.019686621
2020-10-19,7482,4774.6,41,1363,41578,9291,0.223459522,8962,289447,44675,0.030080704
2020-10-20,9291,5016.6,107,1942,59341,10040,0.169191621,9439,335060,42688,0.055097837
2020-10-21,10040,5278.2,130,2928,50200,12107,0.241175299,10091,378348,47314,0.044398907
2020-10-22,12107,5593.7,168,3320,62121,13632,0.219442701,10788,398851,52753,0.05060241
2020-10-23,13632,5948.9,153,2888,55352,13628,0.246206099,11396,478761,57802,0.052977839
2020-10-24,13628,6304,178,4252,53539,11742,0.21931676,11887,446154,49174,0.041862653
2020-10-25,11742,6609.9,87,3275,50407,10241,0.203166227,12282,445991,54268,0.026564885
2020-10-26,10241,6876.7,45,2683,66062,16300,0.246737913,13291,442109,54440,0.01677227
2020-10-27,16300,7301.4,132,3935,60607,18820,0.310525187,13931,479288,47242,0.033545108
2020-10-28,18820,7791.8,234,4267,67892,20156,0.296883285,14631,489079,48977,0.054839466
2020-10-29,20156,8317,301,5763,78041,21629,0.277149191,15444,496213,49503,0.052229741
2020-10-30,21629,8880.5,202,5457,59795,21897,0.366201187,16144,504706,48928,0.037016676
2020-10-31,21897,9451,280,5556,49971,17171,0.343619299,16427,439159,48301,0.050395968
2020-11-01,17171,9898.4,152,6315,65012,15578,0.239617301,17223,435343,46844,0.024069675
2020-11-02,15578,10304.3,92,7818,65792,19364,0.294321498,18160,421582,46697,0.011767716
2020-11-03,19364,10808.9,227,5573,69080,24692,0.357440649,18654,408121,43549,0.040732101
2020-11-04,24692,11452.2,372,8974,67120,27143,0.404395113,19114,430732,42689,0.041453087
2020-11-05,27143,12159.4,367,8721,82955,27086,0.326514375,19479,433524,42562,0.04208233
2020-11-06,27086,12865.2,445,10994,66814,27875,0.417202981,20249,441832,52655,0.040476624
2020-11-07,27875,13591.5,349,11835,61055,24785,0.405945459,20214,407579,42921,0.029488804
2020-11-08,24785,14237.2,236,8853,43456,21713,0.499654823,20967,376567,41403,0.02665763
2020-11-09,21713,14803,173,10008,54701,25454,0.465329701,21640,407486,37655,0.017286171
2020-11-10,25454,15466.2,330,11290,53274,25221,0.47342043,21521,431104,36263,0.029229407
2020-11-11,25221,16123.3,429,12214,57249,22683,0.396216528,21899,404352,27706,0.035123629
2020-11-12,22683,16714.3,275,11474,57552,24051,0.417900334,22298,430310,30420,0.02396723
2020-11-13,24051,17341,419,13231,56084,25571,0.455941088,22320,440025,30625,0.031668052
2020-11-14,25571,18007.2,548,14635,46607,21854,0.468899522,21988,409322,29920,0.037444482
2020-11-15,21854,18576.7,303,12568,35105,20816,0.592963965,22458,422767,28528,0.024108848
2020-11-16,20816,19119,143,11239,41983,19152,0.456184646,23033,415174,25618,0.012723552
2020-11-17,19152,19618,357,18260,57012,19883,0.34875114,22812,415601,25653,0.019550931
2020-11-18,19883,20136.1,603,18601,58011,23975,0.413283688,22536,434034,24717,0.032417612
2020-11-19,23975,20760.8,637,19003,55048,22464,0.408080221,22643,408567,23153,0.033521023
2020-11-20,22464,21346.1,626,19914,43945,24213,0.550984185,22478,391837,22982,0.031435171
2020-11-21,24213,21976.9,574,25275,42860,18467,0.430867942,22094,356130,22156,0.022710188
2020-11-22,17856,22442.2,330,16896,27498,15002,0.54556695,22234,362959,21290,0.01953125
2020-11-23,15002,22833.1,156,14897,33717,10139,0.300708841,22405,334331,19671,0.010471907
